component_id,name_marking,category,function,manufacturer,manufacturer_country,oem_part_number,production_date,found_in_drones,sanctions_status,is_dual_use,replaceable_with,price_retail_usd,source_url,evidence_image,last_verified,notes
gur-7188,Servo drive,motor,,Not identified,UNK,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7188,https://war-sanctions.gur.gov.ua/uploads/componentslist/44/80/7188_photo_Hcui5m1P6P-tKhtT6a10702e79f46.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7187,Turbojet engine LX-WP-160,engine,,"Telefly Telecommunications Equipment Co., Limited",CN,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7187,https://war-sanctions.gur.gov.ua/uploads/componentslist/204/8/7187_photo_zoL2aqG_zeXMui956a10700c056ee.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7186,Single-phase solid-state DC relay,passive,,"FOTEK CONTROLS CO., LTD",TW,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7186,https://war-sanctions.gur.gov.ua/uploads/componentslist/11/177/7186_photo_my2zIiskAXfz0xdS6a106fb5d995b.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7185,Network switch,datalink,,SCYTON Technology,CN,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7185,https://war-sanctions.gur.gov.ua/uploads/componentslist/105/161/7185_photo_rqS47mesgGlXAraQ6a106f5462120.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7184,Mesh modem Tech Mesh Network XK,datalink,,Xingkay Tech,CN,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7184,https://war-sanctions.gur.gov.ua/uploads/componentslist/29/113/7184_photo_B5tZ0zOuLR5qMnGS6a106ef9d5672.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7183,(unspecified),unknown,,"Nanjing Kaida Optoelectronics Technology Co., Ltd",CN,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7183,https://war-sanctions.gur.gov.ua/uploads/componentslist/186/124/7183_photo_1vVhKbvXwpAi3iya6a106d6ab7099.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7182,(unspecified),unknown,,Maxim Integrated Products (Analog Devices),US,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7182,https://war-sanctions.gur.gov.ua/uploads/componentslist/115/47/7182_photo_Z6gNyXMZWj_JP5zd6a106d0c046a4.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7181,(unspecified),unknown,,Micron Technology,US,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7181,https://war-sanctions.gur.gov.ua/uploads/componentslist/155/29/7181_photo_xyBpoNnPfDuBMbHC6a106cd850360.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7180,(unspecified),unknown,,Not identified,UNK,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7180,https://war-sanctions.gur.gov.ua/uploads/componentslist/24/29/7180_photo_HmDgQWpMRq4lwWok6a106ca6af645.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7179,(unspecified),unknown,,Texas Instruments,US,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7179,https://war-sanctions.gur.gov.ua/uploads/componentslist/31/120/7179_photo_DjCzFip817Gyb_hF6a106c7ad4fb6.png.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7178,(unspecified),unknown,,"Hunan Silicon Internet of Things Technology Co., Ltd",CN,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7178,https://war-sanctions.gur.gov.ua/uploads/componentslist/249/236/7178_photo_UVgDv2lc_vtZ-Ec06a106c16cc2b5.png.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7177,(unspecified),unknown,,Not identified,UNK,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7177,https://war-sanctions.gur.gov.ua/uploads/componentslist/63/2/7177_photo_vn2Po9DXCHRYzqsM6a106bc22a002.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7176,(unspecified),unknown,,"Unicore Communications, Inc.",CN,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7176,https://war-sanctions.gur.gov.ua/uploads/componentslist/102/164/7176_photo_AT4zMLG-DU7eI1e16a106b8faea7f.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7175,Schottky diode A34,unknown,,ON Semiconductor (ONSEMI),US,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7175,https://war-sanctions.gur.gov.ua/uploads/componentslist/227/226/7175_photo_OeEgw-ZXaB--iJI66a106aaf15eb5.png.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7174,Schottky diode YG,unknown,,"Littelfuse, Inc.",US,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7174,https://war-sanctions.gur.gov.ua/uploads/componentslist/181/91/7174_photo_Ko7poAf9-FW458mQ6a106a7b1c9e4.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7173,(unspecified),unknown,,Hunan Aihua Group,CN,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7173,https://war-sanctions.gur.gov.ua/uploads/componentslist/254/70/7173_photo_ORZigz1bodoHmMuc6a106a2dc2248.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7172,(unspecified),unknown,,Not identified,UNK,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7172,https://war-sanctions.gur.gov.ua/uploads/componentslist/117/189/7172_photo_9pEuYWaxOYkaUgRX6a1069d52ba93.png.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7171,(unspecified),unknown,,Alpha and Omega Semiconductor,US,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7171,https://war-sanctions.gur.gov.ua/uploads/componentslist/99/150/7171_photo_edz66B5bC78q93Mv6a106953efa53.jpg.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
gur-7170,(unspecified),unknown,,Adesto Technologies (Dialog Semiconductor - Renesas Electronics),US,,,"[""geran-4-uav""]",unknown,False,[],,https://war-sanctions.gur.gov.ua/en/components/7170,https://war-sanctions.gur.gov.ua/uploads/componentslist/77/191/7170_photo_saPb8gXXi29nNf8l6a1068e606ea9.png.webp,2026-06-13,Linked weapon as published by GUR: Geran-4 UAV
