id,display_name,aka,operators,manufacturer_country,role,propulsion,total_components_documented,primary_source_url,secondary_sources,image_url,last_verified,notes
geran-4-uav,Geran 4 UAV,[],"[""RU""]",RU,loitering_munition,unknown,54,https://war-sanctions.gur.gov.ua/en/page-geran-4-uav,[],,2026-06-13,Auto-registered from GUR component listing
klyn-uav,Klyn UAV,[],"[""RU""]",RU,isr,unknown,40,https://war-sanctions.gur.gov.ua/en/page-klyn-uav,[],,2026-06-13,Auto-registered from GUR component listing
s-71k-kover-cruise-air-missile,S 71K Kover Cruise Air Missile,[],"[""UNK""]",UNK,unknown,unknown,40,https://war-sanctions.gur.gov.ua/en/page-s-71k-kover-cruise-air-missile,[],,2026-06-13,Auto-registered from GUR component listing
knyaz-veschyi-oleg-uav,Knyaz Veschyi Oleg UAV,[],"[""UNK""]",UNK,unknown,unknown,56,https://war-sanctions.gur.gov.ua/en/page-knyaz-veschyi-oleg-uav,[],,2026-06-13,Auto-registered from GUR component listing
lancet-loitering-munition-izdeliye-51,Lancet Loitering Munition Izdeliye 51,[],"[""RU""]",RU,loitering_munition,unknown,56,https://war-sanctions.gur.gov.ua/en/page-lancet-loitering-munition-izdeliye-51,[],,2026-06-13,Auto-registered from GUR component listing
scalpel-loitering-munition,Scalpel Loitering Munition,[],"[""UNK""]",UNK,unknown,unknown,18,https://war-sanctions.gur.gov.ua/en/page-scalpel-loitering-munition,[],,2026-06-13,Auto-registered from GUR component listing
shahed-107-uav,Shahed 107 UAV,[],"[""RU""]",IR,loitering_munition,unknown,46,https://war-sanctions.gur.gov.ua/en/page-shahed-107-uav,[],,2026-06-13,Auto-registered from GUR component listing
gyro-stabilized-optical-electronic-system-qir50tpro-of-fenix-uav,Gyro Stabilized Optical Electronic System Qir50Tpro Of Fenix UAV,[],"[""UNK""]",UNK,unknown,unknown,13,https://war-sanctions.gur.gov.ua/en/page-gyro-stabilized-optical-electronic-system-qir50tpro-of-fenix-uav,[],,2026-06-13,Auto-registered from GUR component listing
the-izdelie-30-cruise-missile,The Izdelie 30 Cruise Missile,[],"[""UNK""]",UNK,unknown,unknown,24,https://war-sanctions.gur.gov.ua/en/page-the-izdelie-30-cruise-missile,[],,2026-06-13,Auto-registered from GUR component listing
universal-gliding-and-correction-module-extended-range-umpk-pd,Universal Gliding And Correction Module Extended Range Umpk Pd,[],"[""UNK""]",UNK,unknown,unknown,8,https://war-sanctions.gur.gov.ua/en/page-universal-gliding-and-correction-module-extended-range-umpk-pd,[],,2026-06-13,Auto-registered from GUR component listing
