manufacturer_id,name,country,headquarters_city,parent_company,opensanctions_id,sanctions_status,components_supplied,drones_supplied,source_url,notes
telefly-telecommunications-equipment-co-limited-cn,"Telefly Telecommunications Equipment Co., Limited",CN,,,,unknown,3,0,https://war-sanctions.gur.gov.ua/en/components,
fotek-controls-co-ltd-tw,"FOTEK CONTROLS CO., LTD",TW,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
scyton-technology-cn,SCYTON Technology,CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
xingkay-tech-cn,Xingkay Tech,CN,,,,unknown,4,0,https://war-sanctions.gur.gov.ua/en/components,
nanjing-kaida-optoelectronics-technology-co-ltd-cn,"Nanjing Kaida Optoelectronics Technology Co., Ltd",CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
maxim-integrated-products-analog-devices-us,Maxim Integrated Products (Analog Devices),US,,,,unknown,254,0,https://war-sanctions.gur.gov.ua/en/components,
micron-technology-us,Micron Technology,US,,,,unknown,81,0,https://war-sanctions.gur.gov.ua/en/components,
texas-instruments-us,Texas Instruments,US,,,,unknown,2044,0,https://war-sanctions.gur.gov.ua/en/components,
hunan-silicon-internet-of-things-technology-co-ltd-cn,"Hunan Silicon Internet of Things Technology Co., Ltd",CN,,,,unknown,5,0,https://war-sanctions.gur.gov.ua/en/components,
unicore-communications-inc-cn,"Unicore Communications, Inc.",CN,,,,unknown,4,0,https://war-sanctions.gur.gov.ua/en/components,
on-semiconductor-onsemi-us,ON Semiconductor (ONSEMI),US,,,,unknown,92,0,https://war-sanctions.gur.gov.ua/en/components,
littelfuse-inc-us,"Littelfuse, Inc.",US,,,,unknown,12,0,https://war-sanctions.gur.gov.ua/en/components,
hunan-aihua-group-cn,Hunan Aihua Group,CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
alpha-and-omega-semiconductor-us,Alpha and Omega Semiconductor,US,,,,unknown,3,0,https://war-sanctions.gur.gov.ua/en/components,
adesto-technologies-dialog-semiconductor-renesas-electronics-us,Adesto Technologies (Dialog Semiconductor - Renesas Electronics),US,,,,unknown,12,0,https://war-sanctions.gur.gov.ua/en/components,
stmicroelectronics-ch,STMicroelectronics,CH,,,,unknown,268,0,https://war-sanctions.gur.gov.ua/en/components,
toshiba-jp,Toshiba,JP,,,,unknown,20,0,https://war-sanctions.gur.gov.ua/en/components,
future-technology-devices-international-ltd-unk,Future Technology Devices International Ltd,UNK,,,,unknown,5,0,https://war-sanctions.gur.gov.ua/en/components,
raspberry-pi-ltd-unk,Raspberry Pi Ltd,UNK,,,,unknown,6,0,https://war-sanctions.gur.gov.ua/en/components,
analog-devices-us,Analog Devices,US,,,,unknown,707,0,https://war-sanctions.gur.gov.ua/en/components,
mornsun-guangzhou-science-technology-co-ltd-cn,"MORNSUN Guangzhou Science & Technology Co., Ltd.",CN,,,,unknown,29,0,https://war-sanctions.gur.gov.ua/en/components,
ningbo-connfly-electronic-co-ltd-cn,"Ningbo Connfly Electronic Co., Ltd.",CN,,,,unknown,6,0,https://war-sanctions.gur.gov.ua/en/components,
capxon-international-electronic-co-ltd-cn,"CapXon International Electronic Co., Ltd.",CN,,,,unknown,4,0,https://war-sanctions.gur.gov.ua/en/components,
beijing-sensirt-sensor-technology-co-ltd-cn,"Beijing Sensirt Sensor Technology Co., Ltd.",CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
vishay-intertechnology-inc-us,"Vishay Intertechnology, Inc.",US,,,,unknown,90,0,https://war-sanctions.gur.gov.ua/en/components,
kefa-electronics-cn,KEFA ELECTRONICS,CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
infineon-technologies-de,Infineon Technologies,DE,,,,unknown,63,0,https://war-sanctions.gur.gov.ua/en/components,
nichicon-corporation-jp,Nichicon Corporation,JP,,,,unknown,8,0,https://war-sanctions.gur.gov.ua/en/components,
national-semiconductor-texas-instruments-us,National Semiconductor (Texas Instruments),US,,,,unknown,76,0,https://war-sanctions.gur.gov.ua/en/components,
nanjing-qinheng-microelectronics-co-ltd-winchiphead-wch-cn,"Nanjing Qinheng Microelectronics Co., Ltd. (WinChipHead, WCH)",CN,,,,unknown,6,0,https://war-sanctions.gur.gov.ua/en/components,
cts-corporation-us,CTS Corporation,US,,,,unknown,355,0,https://war-sanctions.gur.gov.ua/en/components,
scorpion-power-system-cn,Scorpion Power System,CN,,,,unknown,4,0,https://war-sanctions.gur.gov.ua/en/components,
changzhou-amass-electronics-co-ltd-cn,"Changzhou AMASS Electronics Co., Ltd",CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
holybro-cn,Holybro,CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
shenzhen-ai-thinker-technology-co-ltd-cn,"Shenzhen Ai-Thinker Technology Co., Ltd.",CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
nanjing-magewell-electronics-co-ltd-cn,"Nanjing Magewell Electronics Co., Ltd.",CN,,,,unknown,1,0,https://war-sanctions.gur.gov.ua/en/components,
jb-capacitors-cn,JB Capacitors,CN,,,,unknown,4,0,https://war-sanctions.gur.gov.ua/en/components,
nvidia-us,Nvidia,US,,,,unknown,6,0,https://war-sanctions.gur.gov.ua/en/components,
monolithic-power-systems-us,Monolithic Power Systems,US,,,,unknown,19,0,https://war-sanctions.gur.gov.ua/en/components,
advanced-monolithic-systems-inc-us,Advanced Monolithic Systems Inc.,US,,,,unknown,3,0,https://war-sanctions.gur.gov.ua/en/components,
pulse-electronics-corporation-us,Pulse Electronics Corporation,US,,,,unknown,52,0,https://war-sanctions.gur.gov.ua/en/components,
wiznet-kr,WIZnet,KR,,,,unknown,2,0,https://war-sanctions.gur.gov.ua/en/components,
